[2026-06-08 09:47:32,933][HYDRA] Joblib.Parallel(n_jobs=72,backend=loky,prefer=processes,require=None,verbose=0,timeout=None,pre_dispatch=2*n_jobs,batch_size=auto,temp_folder=None,max_nbytes=None,mmap_mode=r) is launching 360 jobs
[2026-06-08 09:47:32,933][HYDRA] Launching jobs, sweep output dir : multirun/2026-06-08/09-47-15
[2026-06-08 09:47:32,933][HYDRA] 	#0 : GENERAL.seed=1 DATA.N=20 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#50 : GENERAL.seed=2 DATA.N=160 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#51 : GENERAL.seed=2 DATA.N=160 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#52 : GENERAL.seed=2 DATA.N=320 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#53 : GENERAL.seed=2 DATA.N=320 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#54 : GENERAL.seed=2 DATA.N=320 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#55 : GENERAL.seed=2 DATA.N=320 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#56 : GENERAL.seed=2 DATA.N=640 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#57 : GENERAL.seed=2 DATA.N=640 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#58 : GENERAL.seed=2 DATA.N=640 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#59 : GENERAL.seed=2 DATA.N=640 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#60 : GENERAL.seed=2 DATA.N=1280 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#61 : GENERAL.seed=2 DATA.N=1280 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#62 : GENERAL.seed=2 DATA.N=1280 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#63 : GENERAL.seed=2 DATA.N=1280 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#64 : GENERAL.seed=2 DATA.N=2560 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#65 : GENERAL.seed=2 DATA.N=2560 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#66 : GENERAL.seed=2 DATA.N=2560 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#67 : GENERAL.seed=2 DATA.N=2560 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#68 : GENERAL.seed=2 DATA.N=5120 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#69 : GENERAL.seed=2 DATA.N=5120 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#70 : GENERAL.seed=2 DATA.N=5120 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#71 : GENERAL.seed=2 DATA.N=5120 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#72 : GENERAL.seed=3 DATA.N=20 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#73 : GENERAL.seed=3 DATA.N=20 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#74 : GENERAL.seed=3 DATA.N=20 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#75 : GENERAL.seed=3 DATA.N=20 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#76 : GENERAL.seed=3 DATA.N=40 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#77 : GENERAL.seed=3 DATA.N=40 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#78 : GENERAL.seed=3 DATA.N=40 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#79 : GENERAL.seed=3 DATA.N=40 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#80 : GENERAL.seed=3 DATA.N=80 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#81 : GENERAL.seed=3 DATA.N=80 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#82 : GENERAL.seed=3 DATA.N=80 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#83 : GENERAL.seed=3 DATA.N=80 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#84 : GENERAL.seed=3 DATA.N=160 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#85 : GENERAL.seed=3 DATA.N=160 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#86 : GENERAL.seed=3 DATA.N=160 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#87 : GENERAL.seed=3 DATA.N=160 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#88 : GENERAL.seed=3 DATA.N=320 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#89 : GENERAL.seed=3 DATA.N=320 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#90 : GENERAL.seed=3 DATA.N=320 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#91 : GENERAL.seed=3 DATA.N=320 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#92 : GENERAL.seed=3 DATA.N=640 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#93 : GENERAL.seed=3 DATA.N=640 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#94 : GENERAL.seed=3 DATA.N=640 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#95 : GENERAL.seed=3 DATA.N=640 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#96 : GENERAL.seed=3 DATA.N=1280 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#97 : GENERAL.seed=3 DATA.N=1280 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#98 : GENERAL.seed=3 DATA.N=1280 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#99 : GENERAL.seed=3 DATA.N=1280 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#100 : GENERAL.seed=3 DATA.N=2560 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#101 : GENERAL.seed=3 DATA.N=2560 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#102 : GENERAL.seed=3 DATA.N=2560 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#103 : GENERAL.seed=3 DATA.N=2560 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#104 : GENERAL.seed=3 DATA.N=5120 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#105 : GENERAL.seed=3 DATA.N=5120 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#106 : GENERAL.seed=3 DATA.N=5120 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#107 : GENERAL.seed=3 DATA.N=5120 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#108 : GENERAL.seed=4 DATA.N=20 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#109 : GENERAL.seed=4 DATA.N=20 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#110 : GENERAL.seed=4 DATA.N=20 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#111 : GENERAL.seed=4 DATA.N=20 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#112 : GENERAL.seed=4 DATA.N=40 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#113 : GENERAL.seed=4 DATA.N=40 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#114 : GENERAL.seed=4 DATA.N=40 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#115 : GENERAL.seed=4 DATA.N=40 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#116 : GENERAL.seed=4 DATA.N=80 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#117 : GENERAL.seed=4 DATA.N=80 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,934][HYDRA] 	#118 : GENERAL.seed=4 DATA.N=80 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,935][HYDRA] 	#119 : GENERAL.seed=4 DATA.N=80 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,935][HYDRA] 	#120 : GENERAL.seed=4 DATA.N=160 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,935][HYDRA] 	#121 : GENERAL.seed=4 DATA.N=160 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,935][HYDRA] 	#122 : GENERAL.seed=4 DATA.N=160 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,935][HYDRA] 	#123 : GENERAL.seed=4 DATA.N=160 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,935][HYDRA] 	#124 : GENERAL.seed=4 DATA.N=320 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,935][HYDRA] 	#125 : GENERAL.seed=4 DATA.N=320 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,935][HYDRA] 	#126 : GENERAL.seed=4 DATA.N=320 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,935][HYDRA] 	#127 : GENERAL.seed=4 DATA.N=320 QNN.non_equivariance=4 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,935][HYDRA] 	#128 : GENERAL.seed=4 DATA.N=640 QNN.non_equivariance=3 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,935][HYDRA] 	#129 : GENERAL.seed=4 DATA.N=640 QNN.non_equivariance=3 QNN.reps=7 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
[2026-06-08 09:47:32,935][HYDRA] 	#130 : GENERAL.seed=4 DATA.N=640 QNN.non_equivariance=4 QNN.reps=6 QNN.p_err=0 TRAINING.epochs=60 DATA.dataset=mnist
